year,temp_anomaly_LOW,temp_anomaly_MED,temp_anomaly_HIGH
2025,2.8754586353559564,2.7542303460946025,2.886282394862462
2026,2.8459305498570355,2.972181295249591,2.910541825655085
2027,2.9021629658931616,2.9278197097780714,2.968806652982038
2028,2.8336712384768994,2.937714296774388,3.1393255491208594
2029,2.7093003431935925,3.00711863923316,2.990667113725065
2030,2.8376683239238267,2.923704866060554,3.1149216271686857
2031,2.859186762138222,3.038226171274218,3.200635649987369
2032,2.851870076494206,2.947779794417804,3.274821948754494
2033,2.8688884402179533,3.0166797611740153,3.148765018931541
2034,2.863693332197013,3.2117156838832033,3.290452958790887
2035,3.021792256330892,3.046917512939938,3.2871668671147285
2036,2.923742662905841,3.2312174648269663,3.363977820765168
2037,2.7633952577916157,3.181942855578903,3.3379214381831064
2038,2.9799603455957664,3.2814032090981335,3.401113824681344
2039,2.8661023801274563,3.210039283448207,3.434804896422336
2040,2.9496646752161997,3.3463214669782753,3.633219211469987
2041,2.8543331649559285,3.2299802075882074,3.53488636907206
2042,2.9326367924201735,3.1955487696800384,3.7819703170521857
2043,2.9841764620020506,3.303370891162623,3.7597740893903744
2044,3.0155708832754873,3.277934200057703,3.7099612733872727
2045,2.9176281815532876,3.2935738859624184,3.711391048231449
2046,3.0666513228160843,3.2945313860789893,3.8569926882050627
2047,3.050226764387838,3.408007222497174,3.717594586106334
2048,3.0579941114130875,3.467808991883345,3.8381135750215867
2049,2.9900666909438507,3.4495977727390006,3.926132629179584
2050,2.9906566360075253,3.469136549430833,3.9352198908199503
